original,modern translation
그방셔의ᄒᆞ여시되대범ᄉᆞᄅᆞᆷ이복ᄌᆡ지한의나ᄆᆡ오륜이이스니오륜즁의군뷔읏믐이라ᄉᆞᄅᆞᆷ되고오륜을바리면ᄉᆞᄅᆞᆷ이아니라ᄒᆞᄂᆞ니이졔너ᄂᆞᆫ지혜와식견이범ᄉᆞᄅᆞᆷ두곤더ᄒᆞ되이ᄅᆞᆯ모로니엇지ᄋᆡ답지아니ᄒᆞ리요우리셰ᄃᆡ로국은을입어ᄌᆞᄌᆞ손손히녹을바드니망극ᄒᆞᆫ마음이갈츙보국ᄒᆞ더니우리의게밋쳐ᄂᆞᆫ널노말무야마역명을장ᄎᆞ어ᄂᆡ곳듸밋츨쥴모로게되니엇지ᄒᆞᆫ심타ᄲᅮᆫ이며난신과젹ᄌᆞ어ᄂᆡᄃᆡ의업스리요마난우리문호의셔날쥴은진실노ᄯᅳᆺᄒᆞ지못ᄒᆞ엿도다네의죄목을젼하진로ᄒᆞ시니맛당이극형을ᄒᆡᆼᄒᆞ실거시로듸ᄀᆞ지록성은이망극ᄒᆞᄉᆞ죄를더ᄒᆞ지아니ᄒᆞ시고날을명ᄒᆞᄉᆞ너을ᄌᆞ부라ᄒᆞ옵시니망극ᄒᆞᆫ마음도로혀황공ᄒᆞ며팔십노친이ᄇᆡᆨ슈모년의널노ᄒᆞ야곰쥬야우려ᄒᆞ시던즁의네이럿탓변괴을지어죄을나ᄅᆞ의어드니놀ᄂᆡ신마음이병이되여이졔눕고장ᄎᆞ이지못ᄒᆞ게되시니부친만일널노인ᄒᆞ야셰상을ᄇᆞ리시면네ᄉᆞᄅᆞ셔도녁명을입고쥭어지ᄒᆞ의간들쳔츄만ᄃᆡ예블츙블효지죄ᄅᆞᆯ유전ᄒᆞᆯ지라ᄯᅩᄒᆞᆫ그나문우리일문이원통치아니ᄒᆞᆯ야네엇지넉넉ᄒᆞᆫ소견으로이ᄅᆞᆯᄉᆡᆼ각지못ᄒᆞᄂᆞ냐네이죄명을ᄀᆞ지고셰상의용납할진ᄃᆡᄉᆞᄅᆞᆷ읜비록안셔ᄒᆞᄂᆞ소소ᄒᆞᆫ쳔벌이ᄉᆞ졍이잇스랴이졔맛당히쳔명을슌슈ᄒᆞ야조졍쳐분을지달일ᄲᅮᆫ이니ᄯᅩ엇지ᄒᆞ리요네일즉도라오긔을ᄇᆞᄅᆡ노라ᄒᆞ엿더라,"그 방서에 하였으되,
""대법 사람이 복재지간에 나매 오륜 있으니 오륜중에 군부가 으뜸이라. 사람되고 오륜을 버리면 사람이 아니라 하나니, 이제 너는 지혜와 식견이 범 사람보다 더하되 이를 모르니 어찌 애닯지 아니하리요? 우리 세대로 국은을 입어 자자손손이 녹을 받으니 망극한 마음이 갈충보국하더니, 우리에게 미쳐서는 너로 말미암아 역명을 장차 어느 곳에 미칠 줄 모르게 되니 어찌 한심하다 뿐이며, 난신과 적자 어느 대에 없으리요마는 우리 문호에서 날 줄은 진실로 뜻하지 못하였도다. 너의 죄목을 전하 진로하시니 마땅히 극형을 행하실 것 이로되, 갈수록 성은이 망극하사 죄를 더하지 아니하시고 나를 명하사 너를 잡으라 하옵시너 망극한 마음 도리어 황공하며, 팔십 노친이 백수모년에 너로 하여금 주야 우려하시던 중에 네 이렇듯 변괴를 지어 죄를 나라에 얻으니 놀라신 마음에 병이 되어 이제 눕고 장차 일어나지 못하게 되시니, 부친 만일 너로 인하여 세상을 버리시면 네 살아서도 역명을 입고, 죽어 지하에 간들 천추만대에 볼충볼효지죄를 유전할지라. 또한 그 남은 우리 일문이 원통치 아니하랴? 네 어찌 넉넉한 소견으로 이를 생각지 못하느냐? 네 이 죄명을 가지고 세상에 용납할진대 사람은 비록 안서하나 소소한 천벌이 사정이 있으랴? 이제 마땅히 천명을 순수하여 조정의 처분을 기다릴 뿐이니 또 어찌하리요? 네 일찍 돌아오기를 바라노라.""
하였더라."
감ᄉᆞ도임후의공ᄉᆞ을폐ᄒᆞ고젼ᄒᆞ의근심과부친의병셰을염예ᄒᆞ여슈심으로날을보ᄂᆡ며항여길동이올ᄀᆞᄇᆞᄅᆞ더니일일은ᄒᆞ인이아뢰되엇더ᄒᆞᆫ소년이밧긔와통ᄌᆡᄒᆞᆫ다ᄒᆞ거ᄂᆞᆯ즉시마ᄌᆞ드리니그ᄉᆞᄅᆞᆷ이셤우의업더어죄을쳥ᄒᆞᄂᆞᆫ지라감ᄉᆞ고히녀겨그연고을므르니ᄃᆡ왈형장은엇지소졔길동을모르시ᄂᆞᆫ잇ᄀᆞᄒᆞ거날,"감사 도임 후에 공사를 폐하고, 전하의 근심과 부친의 병세를 염려하여 수심으로 날을 보내며 행여 길동이 올까 바라더니, 일일은 하인이 아뢰되,
""어떠한 소년이 밖에 와 통지한다.""
하거늘, 즉시 맞아 들이니, 그 사람이 섬 위에 엎드려 죄를 청하는지라. 감사 괴히 여겨 그 연고를 물으니 대왈,
""형장은 어찌 소제 길동을 모르시나이까?""
하거늘, "
감ᄉᆞ경희즁의나셔길동의손을ᄌᆞᆸ고익글고방의드러와좌우을치우고한슘지며왈이무상ᄒᆞᆫ아ᄋᆡ라네어려셔집을ᄯᅥᄂᆞᆫ후의이ᄌᆡ야맛ᄂᆞ니반ᄀᆞ온마음이도로혀슬푸도다네져러ᄒᆞᆫ풍도와ᄌᆡ조로엇지이럿ᄐᆞᆺ블측ᄒᆞᆫ일을즐겨ᄒᆞ여부형의은ᄋᆡ을ᄭᅳᆫ케ᄒᆞᄂᆞᆫ야향곡의우미ᄒᆞᆫᄇᆡᆨ셩들도임군의게츙셩ᄒᆞ고아비으게효도ᄒᆞᆯ쥴ᄋᆞᄂᆞᆫ지라너난셩졍이총명ᄒᆞ고ᄌᆡ조놉파범인과크게다르니맛당히더옥츙효을슝상ᄒᆞᆯᄉᆞᄅᆞᆷ으로셔몸을그른ᄃᆡ바려츙효의당ᄒᆞ여난범인두곤못ᄒᆞ니엇지ᄒᆞᆫ심치아니ᄒᆞ리요그부형되ᄂᆞᆫᄌᆡ그갓튼고명ᄒᆞᆫᄌᆞ졔을두다ᄒᆞ여심독희ᄌᆞ부터니도로혀부형의게근심을깃치ᄂᆞ냐네이졔츙의을취ᄒᆞ야ᄉᆞ지의도라ᄀᆞ도그부형은아쳐ᄆᆞᄋᆞᆷ이잇슬지라ᄒᆞ믈며역명을무릅쓰고쥭게되니그부형의마ᄋᆞᆷ이야다시엇덧ᄐᆞᄒᆞ랴국법이ᄉᆞ졍이업스니아모리구원코ᄌᆞᄒᆞ여도엇지못ᄒᆞ고위ᄒᆞ여셜워ᄒᆞᆫ들무슨효험이잇스랴너난부형의낫츨보와쥭긔을감심ᄒᆞ고왓시나나난두렵고비쳑ᄒᆞᆫ마음이너아니본ᄯᆡ으셔더ᄒᆞᆫ지라너난네지은죄니하날과ᄉᆞᄅᆞᆷ을원망치못ᄒᆞ여도부친과나ᄂᆞᆫ목젼의너을쥬긔ᄂᆞᆫ줄노명도을탓ᄒᆞᆯᄲᅮᆫ이라네엇지이ᄅᆞᆯᄭᆡ닷지못ᄒᆞ고이럿ᄐᆞᆺ범남ᄒᆞᆫ죄을지엿ᄂᆞ냐쳔츄을역슈ᄒᆞ여도ᄉᆡᆼ니ᄉᆞ별이오날밤의빗치못ᄒᆞ리로다ᄒᆞ니,"감사 경희중에 나가서 길동의 손을 잡고 이끌고 방에 들어와 좌우를 치우고 한숨지으며 왈,
""이 무상한 아이야. 네 어려서 집을 떠난 후에 이제야 만나니 반가운 마음이 도리어 슬프도다! 네 저러한 풍도와 재주로 어찌 이렇듯 불측한 일을 즐겨하여 부형의 은애를 끊케 하느냐? 향곡의 우미한 백성들도 임금에게 충성하고, 아비에게 효도할 줄 아는지라. 너는 성정이 총명하고 재주 높아 범인과 크게 다르니 마땅히 더욱 충효를 숭상할 사람으로서 몸을 그른 데 버려 충효를 당하여는 범인보다 못하니 어찌 한심치 아니하리요? 그 부형되는 자가 그같은 고명한 자제를 두었다 하여 심독회자부하더니 도리어 부형에게 근심을 끼치느냐? 네 이제 충의를 취하여 사지에 돌아가도 그 부형은 싫어하는 마음이 있을지라. 하물며 역명을 무릅쓰고 죽게 되니 그 부형의 마음이야 다시 어떠하다 하랴! 국법이 사정이 없으니 아무리 구원코자 하여도 어찌 못하고 위하여 서러워한들 무슨 효험이 있으랴? 너는 부형의 낯을 보아 죽기를 감심하고 왔으나 나는 두렵고 비척한 마음이 너 아니 본 때보다 더한지라! 너는 네 지은 죄니 하늘과 사람을 원망치 못하여도, 부친과 나는 목전의 너를 죽이는 줄로 명도를 탓할 뿐이라. 네 어찌 이를 깨닫지 못하고 이렇들 범람한 죄를 지었느냐? 천추를 역수하여도 생리사별이 오늘밤에 비치 못하리로다!""
하니,"
길동이쳬읍쥬왈이블초ᄒᆞᆫ동ᄉᆡᆼ길동이본ᄅᆡ부형의휸계을듯지말고져ᄒᆞ미아니오라팔ᄌᆞ긔박ᄒᆞ여쳥ᄉᆡᆼ되믈평ᄉᆡᆼᄒᆞᆫ일ᄲᅮᆫ더러ᄀᆞ즁의시긔ᄒᆞᄂᆞᆫᄉᆞᄅᆞᆷ을피ᄒᆞ여졍쳐업시다니다ᄀᆞ쳔만몽ᄆᆡ밧긔몸미젹당의ᄲᆞ져잠시ᄉᆡᆼᄒᆡ을붓쳣ᄉᆞᆸ더니죄명이이예밋쳐ᄊᆞ오니명일의소졔ᄌᆞ분연유을장계ᄒᆞ옵고소졔을졀박ᄒᆞ여나라의밧츠옵소셔ᄒᆞ며담화로날을ᄉᆡ우고평ᄉᆡᆼ의감ᄉᆞ길동을쳘ᄉᆡ로결박ᄒᆞ여보ᄂᆡᆯᄉᆡ참연이낫빗츨고치고ᄒᆡ옴업시눈믈을ᄂᆡ리우더라,"길동이 체읍 주왈,
""이 불초한 동생 길동이 본래 부형의 훈계를 듣지 말고자 함이 아니오라, 팔자 기박하여 천생됨을 평생 한일 뿐더러 가중에 시가하는 사람을 피하여 정처없이 다니다가 천망몽매 밖에 몸이 적당에 빠져 잠시 생애를 붙였더니 죄명이 이에 미치었사오니 명일에 소제 잡은 여유를 장계하옵고, 소제를 결박하여 나라에 바치옵소서.""
하며, 담화로 날을 새우고 평명에 감사 길동을 철쇄로 결박하여 보낼새 참연히 낯빛을 고치고 하염없이 눈물을 흘리더라."
이젹의팔도의셔다각긔길동을ᄌᆞ밧노라장문ᄒᆞ고나라의올이니ᄉᆞᄅᆞᆷ마닥으혹ᄒᆞ고도뢰분쥬ᄒᆞ여귀경ᄒᆞᄂᆞᆫᄉᆞᄅᆞᆷ이질이메여그슈ᄅᆞᆯ아지못ᄒᆞᆯ네라젼ᄒᆞ친임ᄒᆞᄉᆞ여답길동을국문ᄒᆞ실ᄉᆡ여답길동이셔로닷토와ᄀᆞ로ᄃᆡ네ᄀᆞ무슨길동인다ᄂᆡᄀᆞᄎᆞᆷ길동이로다ᄒᆞ고셔로팔을ᄲᅩᆷᄂᆡ며ᄒᆞᆫᄐᆡ여우러져궁그니도로혀일장ᄀᆞ관이러라,"이때에 팔도에서 다 각기 길동을 잡았노라 장문하고 나라에 올리니 사람마다 의혹하고 도로 분주하여 구경하는 사람이 길이 메여 그 수를 알지 못하더라. 전하 친림하사 여덟 길동을 국문하실새, 여덟 길동이 서로 다투어 가로되,
""네가 무슨 길동이냐? 내가 참 길동이로다.""
하고, 서로 팔을 뽐내며 한데 어우러져 뒹구니 도리어 일장 가관이더라."
만조졔신이며좌우나장이그진위을아지못ᄒᆞᄂᆞᆫ지라졔신이쥬왈지ᄌᆞ난막여부오니이졔홍모을ᄑᆡ초ᄒᆞᄉᆞ그셔ᄌᆞ길동을아라드리라ᄒᆞ옵소셔상이오리녀긔ᄉᆞ즉시홍모을부르시니승상이조명을이어복지ᄒᆞ니상이ᄀᆞᄅᆞᄉᆞᄃᆡ경이일즉ᄒᆞᆫ길동을두웟다ᄒᆞ더니이졔야답이되엿시니엇지ᄒᆞᆫ연괸지경이ᄌᆞ시이갈히여형소ᄅᆞᆯ착난케말나ᄒᆞ시니승상이쳬읍쥬왈신이ᄒᆡᆼ실을직키지못ᄒᆞ와쳔쳡을ᄀᆞᆺ가히ᄒᆞᆫ죄로쳔ᄒᆞᆫᄌᆞ식을두어젼하의근심이되옵고조졍이분운ᄒᆞ오니신의죄만번쥭어도맛당ᄒᆞ오이다ᄒᆞ며ᄇᆡᆨ슈의눈믈이이음ᄎᆞ길동을ᄭᅮ지져왈네아모리블츙블효ᄒᆞᆫ놈이라도우희로셩상이친임ᄒᆞ시고버금아ᄅᆡ로아비잇거날지쳑쳔위ᄒᆞ의군부ᄅᆞᆯ긔롱ᄒᆞ니블측ᄒᆞᆫ죄더옥큰지라ᄲᆞᆯ니형벌의나ᄋᆞᄀᆞ쳔명을순슈ᄒᆞ라만일그러치아니ᄒᆞ면네목젼의ᄂᆡ몬쳠쥭어셩상의진로ᄒᆞ시ᄂᆞᆫ마음을만분지일이라도덜이라ᄒᆞ며쥬왈신의쳔ᄌᆞ길동은왼편다리의불근졈일곱이잇ᄉᆞ오니이ᄅᆞᆯ증험ᄒᆞ와젹발ᄒᆞ옵소셔ᄒᆞ니여답길동이일시의다리을것고일곱졈을셔로ᄌᆞ랑ᄒᆞᄂᆞᆫ지라,"만조 제신이며 좌우 나장이 그 진위를 알지 못하는지라. 제신이 주왈,
""지자는 막여부오니 이제 홍모를 패초하사 그 서자 길동을 알아들이라 하옵소서.""
상이 옳게 여기사 즉시 홍모를 부르시니 승상이 조명을 이어 복지하니, 상이 가라사대,
""경이 일찌기 한 길동을 두었다 하더니 이제 여덟이 되었으니 어떠한 여고인지 경이 자세히 가리어 형소를 착란케 말라.""
하시니, 승상이 체읍 주왈,
""신이 행실을 지키지 못하여 천첩을 가까이 한 죄로 천한 자식을 두어 전하의 근심이 되옵고 조정이 분운하오니, 신의 죄 만 번 죽어도 마땅하오이다.""
하며, 백수에 눈물이 이음차 길동을 꾸짖어 왈,
""네 아무리 불충불효한 놈이라도 위로 성상이 친림하시고, 버금 아래로 아비 있거늘, 지척 천위하에 군부를 기롱하니 불측한 죄 더욱 큰지라. 빨리 형벌에 나아가 천명을 순수하라. 만일 그렇지 아니하면, 네 목전에 내 먼저 죽어 성상의 진로하시는 마음을 만분지일이라도 덜으리라.""
하며 주왈,
""신의 천자 길동은 왼 편 다리에 붉은 점 일곱이 있사오니 이를 증험하여 적발하옵소서.""
하니, 여덟 길동이 일시에 다리를 걷고 일곱 점을 서로 자랑하는지라."
승상이그진위을갈히지못ᄒᆞ고우구ᄒᆞᆫ마음을이긔지못ᄒᆞ야인ᄒᆞ여긔졀ᄒᆞ거날상이놀ᄂᆡ시ᄉᆞ급피좌우을명ᄒᆞ여구완ᄒᆞ시되회ᄉᆡᆼᄒᆞᆯ긔리업더니여듧길동이각긔낭즁으로셔ᄃᆡ초ᄀᆞᆺᄐᆞᆫ환약두ᄀᆡ식ᄂᆡ여셔로닷토와승상의입의너흐니이시후의회ᄉᆡᆼᄒᆞᄂᆞᆫ지라여듭길동이울며아뢰되신의팔ᄌᆞ무상ᄒᆞ와홍모의쳔비의ᄇᆡᄅᆞᆯ비러낫ᄉᆞ오ᄆᆡ아비와형을임으로부르지못ᄒᆞ옵고겸ᄒᆞ여ᄀᆞ즁의시긔ᄒᆞᄂᆞᆫᄌᆡ잇ᄉᆞ와보젼치못ᄒᆞ오ᄆᆡ몸을산임의븟쳐초목과ᄒᆞᆷ긔늑ᄌᆞᄒᆞ엿더니ᄒᆞ날이믜이녀긔ᄉᆞ젹당의ᄲᆞ져ᄊᆞ오나일즉ᄇᆡᆨ셩의ᄌᆡ믈은츄호도취ᄒᆞᆫᄇᆡ업ᄊᆞ고슈령의뇌믈과블의ᄒᆞᆫ놈의ᄌᆡ믈을아셔먹ᄊᆞ고혹간의나라곡식을도젹ᄒᆞ여ᄊᆞ오나군뷔일쳬오니ᄌᆞ식이아비것먹긔로도젹이라ᄒᆞ오릿ᄀᆞ어린ᄌᆞ식이어미졋먹ᄂᆞᆫ일쳬로소이다이ᄂᆞᆫ도시조졍소인이쳔총을ᄀᆞ리와무소ᄒᆞᆫ죄요신의죄ᄂᆞᆫ아이로소이다,"승상이. 그 진위를 가리지 못하고 우구한 마음을 이기지 못하여 인하여 기절하거늘, 상이 놀래시사 급히 좌우를 명하여 구원하시되 회생할 길이 없더니, 여덟 길동이 자기 낭중에서 대추같은 환약 두 개씩 내어 서로 다투어 승상의 입에 넣으니 이시한 후에 회생하는지라. 여덟 길동이 울며 아뢰되,
""신의 팔자 무상하여 홍모의 천비의 배를 빌어 낳사오매, 아비와 형을 임의로 부르지 못하옵고, 겸하여 가중에 시기하는 자가 있사와 보전치 못하오매, 몸을 산림에 붙여 초목과 함께 늙자 하였더니, 하늘이 밉게 여기사 적당에 빠졌사오나, 일찌기 백성의 재물은 추호도 취한 바 없고 수령의 뇌물과 불의한 놈의 재물을 앗아 먹고, 혹간에 나라 곡식을 도적하였사오나 군부가 일체오니 자식이 아비것 먹기로 도적이라 하오리까? 어린 자식이 어미 젖 먹는 일체로소이다. 이는 도무지 조정 소인이 천총을 가리워 무소한 죄요, 신의 죄는 아니로소이다."""
상이진로ᄒᆞᄉᆞᄭᅮ지져ᄀᆞ로ᄉᆞᄃᆡ네무고ᄒᆞᆫᄌᆡ믈은취치아니타ᄒᆞ면합쳔ᄉᆞ즁을소긔고그ᄌᆡ믈을도젹ᄒᆞ고ᄯᅩ능소의블을노코군긔을도젹ᄒᆞ니이만큰죄ᄯᅩ어ᄃᆡ잇ᄂᆞᆫ야길동등이복쥬왈블도라ᄒᆞ옵난거시셰상을소긔고ᄇᆡᆨ셩을혹게ᄒᆞ여갈지아니ᄒᆞ고ᄇᆡᆨ셩의곡식을취ᄒᆞ며ᄶᆞ지아니ᄒᆞ고ᄇᆡᆨ셩의의복을소겨부모의발부ᄅᆞᆯ상ᄒᆞ야오랑ᄏᆡ모양을승상ᄒᆞ며군부을ᄇᆞ리고부셰ᄅᆞᆯ도망ᄒᆞ오니이예더ᄒᆞᆫ블의지ᄉᆞ업ᄉᆞ오며군긔을ᄀᆞ져ᄀᆞ옵긔ᄂᆞᆫ신등이산즁의쳐ᄒᆞ야병법을익키다ᄀᆞ만일난셰을당ᄒᆞ옵거든시셕을두릅쎠임군을도와ᄐᆡ평을일위고져ᄒᆞ미오며블을노흐되능노의난아니ᄀᆞ게ᄒᆞ엿ᄉᆞ오며신의아비셰ᄃᆡ로국녹을밧ᄌᆞ와갈츙보국ᄒᆞ와셩은을만분지일이라도갑지못ᄒᆞᆯᄀᆞᄒᆞ옵거날신이엇지외람이범람ᄒᆞᆫ마ᄋᆞᆷ을두오릿ᄀᆞ죄을의논ᄒᆞ와도쥭긔의ᄀᆞ지아니ᄒᆞᆯ터이로ᄃᆡ젼ᄒᆡ조신의무소을둣ᄉᆞᆸ고이럿타시진로ᄒᆞ시니신이형벌을지다리지아니ᄒᆞ옵고몬쳠스ᄉᆞ로쥭ᄉᆞ오니노를더옵소셔ᄒᆞ고여듧길동이ᄒᆞᆫᄐᆡ어우러져쥭ᄂᆞᆫ지라좌우괴히녀겨ᄌᆞ셰히보니ᄎᆞᆷ길동은ᄀᆞᆫᄃᆡ업고초인일곱ᄲᅮᆫ이러라,"상이 진로하사 꾸짖어 가라사대,
""네 무고한 재물은 취치 아니했다 하면, 합천사 중을 속이고 그 재물을 도적하고, 또 능소에 불을 놓고 군기를 도적하니, 이만 큰 죄 또 어디 있느냐?""
길동 등이 복주 왈,
""불도라 하옵는 것이 세상을 속이고 백성을 혹하게 하여, 갈지 아니하고 백성의 곡식을 취하며, 짜지 아니하고 백성의 의복을 속여 부모의 발부를 상하여 오랑캐 모양을 숭상하며, 군부를 버리고 부세를 도망하오니 이에 더한 불의지사 없사오며, 군기를 가져가옵기는 신 등이 산중에 처하여 병법을 익히다가 만일 난세를 당하옵거든 시석을 무릅써 임금을 도와 태평을 이루고자 함이오며, 불을 놓으되 능소에는 아니가게하였사오며, 신의 아비 세대로 국록을 받자와 갈충보국하여 성은을 만분지일이라도 갚지 못할까 하옵거늘 신이 어찌 외람되이 범람한 마음을 두오리까? 죄를 의논하여도 죽기에 가지 아니할 터이로되, 전하께서 조신의 무소를 들으시고 이렇듯이 진로하시니 신이 형벌을 기다기지 아니하옵고 먼저 스스로 죽사오니 노를 더옵소서.""
하고, 여덟 길동이 한데 어우러져 죽는지라. 좌우 괴히 여겨 자세히 보니 참 길동은 간데없고 초인 일곱 뿐이더라."
상이길동의긔망ᄒᆞᆫ죄을더옥키노ᄒᆞᄉᆞ경상감ᄉᆞ의게조셔을나류와길동잡긔을더옥ᄌᆡ촉ᄒᆞ시니라이젹의경상감ᄉᆞ길동을ᄌᆞᄇᆞ올이고심회둘고지업셔공ᄉᆞᄅᆞᆯ젼폐ᄒᆞ고경ᄉᆞ소식을긔다리더니믁득교지을ᄂᆡ렷거날북궐을향ᄒᆞ야ᄉᆞᄇᆡ후의ᄐᆡᆨ견ᄒᆞ니교지의ᄀᆞᄅᆞᄉᆞᄃᆡ길동을잡지아니ᄒᆞ고초인을보ᄂᆡ어형부를착난케ᄒᆞ니허망긔군지죄을면치못ᄒᆞᆯ지라아즉죄을의논치아니ᄒᆞᄂᆞ니십일ᄂᆡ로길동을ᄌᆞ부라ᄒᆞ시고ᄉᆞ의엄졀ᄒᆞᆫ지라감ᄉᆞ황공무지ᄒᆞ여ᄉᆞ방의지위ᄒᆞ고길동을ᄎᆞᆺ더니일일은월야를당ᄒᆞ여난간의비겻더니션화당들보우희로셔ᄒᆞᆫ소녀이ᄂᆡ려와복지ᄌᆡᄇᆡᄒᆞ거날ᄌᆞ셰히보니이곳길동이라,"상이 길동의 기망한 죄를 더욱 노하사, 경상감사에게 조서를 내리어 길동 잡기를 더욱 재촉하시는지라.
이때에 경상감사 길동을 잡아 올리고 심회 둘 곳이 없어 공사를 전폐하고 경사 소식을 기다리더니, 문득 교지를 내렸거늘, 북귈읔 향하여 사배 후에 택견하니, 교지에 가라사대,
""길동을 잡지 아니하고 초인을 보내어 형부를 착란케 하니 허망기군지죄를 면치 못할지라. 아직 죄를 의논치 아니하나니 십일 내로 길동을 잡으라.""
하시고 사의 엄절한지라. 감사 황공무지하여 사방에 지위하고 길동을 찾더니, 일일은 월야를 당하여 난간에 비겼더니, 선화당 들보 위에서 한 소년이 내려와 복지재배하거늘, 자세히 보너 이 곧 길동이라."
감ᄉᆞᄭᅮ지져왈네갈슈록죄을키워긋ᄐᆡ여화을일문의ᄭᅴ치고져ᄒᆞᄂᆞ냐즉금나라으셔엄명이막즁ᄒᆞ시니너ᄂᆞᆫ날을원치말고일즉쳔명을순슈ᄒᆞ라길동이부복ᄃᆡ왈형장은염예치마르시고명일소졔ᄅᆞᆯᄌᆞᄇᆞ보ᄂᆡ시되장교즁의부모와져ᄌᆞ업난ᄌᆡ을갈희여소졔을압영ᄒᆞ시면조흔뫼ᄎᆡᆨ이잇ᄂᆞᆫ이ᄃᆞ감ᄉᆞ그연고을알고져ᄒᆞᆫᄃᆡ길동이ᄃᆡ답지아니ᄒᆞ니감ᄉᆞ그소견을아지못ᄒᆞᄂᆞ장ᄎᆞ을졔말과ᄀᆞᆺ치별ᄐᆡᆨᄒᆞ고길동을영솔ᄒᆞ야경ᄉᆞ로올녀보ᄂᆡ니라조졍의셔길동이ᄌᆞ피여온단말을듯고도감표슈슈ᄇᆡᆨ을남ᄃᆡ문의ᄆᆡ복ᄒᆞ여왈길동이문안의들거든일시의총을노화ᄌᆞ부라분부ᄒᆞ니라,"감사 꾸짖어 왈,
""네 갈수록 죄를 키워 구태여 화를 일문에 끼치고자 하느냐? 즉금 나라에서 엄명이 막중하시니 너는 나를 원치 말고 일찍 천명을 순수하라.""
길동이 부복 대왈,
""형장은 염려치 마시고 명일 소제를 잡아 보내시되, 장교 중에 부모와 처자 없는 자를 가리어 소제를 압영하시면 좋은 모책이 있나이다.""
감사 그 연고를 알고자 한대 길동이 대답치 아니하니, 감사 그 소견을 알지 못하나 장차를 제 말과 같이 별택하고 길동을 영솔하여 경사로 올려 보내니라. 조정에서 길동이 잡히어 온다는 말을 듣고 도감포수 수백을 남대문에 매복하여 왈,
""길동이 문 안에 들거든 일시에 총을 놓아 잡으라.""
분부하니라."
이젹의길동이풍우ᄀᆞᆺ치ᄌᆞ피여오더니엇지이긔미을모로이요동작이ᄅᆞᆯ건네며비우ᄍᆞ셰흘쎠공즁의날이고오더니길동이남ᄃᆡ문안의드니좌우의표슈일시의총을노흐되총귀의믈이ᄀᆞ득ᄒᆞ야ᄒᆞ릴업시셜계치못ᄒᆞ니라길동이궐문밧긔다달라영거ᄒᆞᆫ장ᄎᆞ을도라보와왈너희날을영거ᄒᆞ야이곳가지왓시니그죄쥭긔난아니ᄒᆞ리라ᄒᆞ고몸을날여슈ᄅᆡ알ᄋᆡ날여완완이거러ᄀᆞ난지라오군문긔병이말을달여길동을ᄊᆞ려ᄒᆞ되길동은ᄒᆞᆫ양으로ᄀᆞ고말은아모리ᄎᆡ쳐몬들츅지ᄒᆞᄂᆞᆫ법을엇지ᄒᆞ리요만셩인민이그신긔ᄒᆞᆫ슈단을층냥아니ᄒᆞ리업더라,"이때에 길동이 풍우같이 잡히어 오더니 어찌 이 기미를 모르리요. 동작리를 건너며 '비우자' 셋을 써 공중에 날리고 오더니, 길동이 남대문 안에 드니 좌우의 포수 일시에 총을 놓으되 총구에 물이 가득하여 할 수 없이 설계치 못하니라. 길동이 궐문 밖에 다달아 영거한 장차를 돌아보하 왈,
""너회 나를 영거하여 이곳까지 왔으니 그 죄 죽기는 아니하리라.""
하고, 몸을 날려 수레 아래 내려 완완히 걸어 가는지라. 오군문 기병이 말을 달려 길동을 쏘려 하되, 길동은 한양으로 가고 말은 아무리 채쳐 몬들 축지하는 법을 어찌 하리요. 만성 인민이 그 신기한 수단을 측량할 이 없더라."
